KEY,Korean,English,Myanmar,Thailand,India
T_LOGIN,로그인,Log in,အကောင့်၀င်ရန်,เข้าสู่ระบบ,
T_LOGOUT,로그아웃,Log out,လော့အောက်,,
T_LOGIN_FB,페이스북,Facebook,Facebook,,
T_SIGNUPTITLE,회원가입 제목,New Account Sign Up,အကောင့်သစ်ဝင်ရန်,,
T_SIGNUP,회원가입,Sign up,မှတ်ပုံတင်ရန်,สมัครสมาชิก,
T_ACCOUNT,계정,Account,အကောင့်,บัญชี,
T_SIGNUPACCOUNT,계정 회원가입,Sign up Account,အကောင့်သစ်လုပ်ရန်,,
T_SIGNUP_ID,계정은 6 - 12자리로 입력해 주세요<br>영문 또는 숫자만 입력할 수 있습니다,,,บัญชีที่ใช้จะต้องมีอย่างน้อย 6-12 ตัวอักษร <br>ใช้ได้เฉพาะตัวอักษรภาษาอังกฤษหรือตัวเลขเท่านั้น,
T_SIGNUP_PW,"비번은 6 - 12자리로 입력해 주세요<br>영문,  숫자, 특수문자만 입력할 수 있습니다",,,"รหัสผ่านจะต้องมีอย่างน้อย 6-12 ตัวอักษร<br>ใช้ได้เฉพาะตัวอักษรภาษาอังกฤษ,ตัวเลข,อักษรพิเศษเท่านั้น",
T_SIGHUP_EMAIL,비번 찾기에 이용되오니 알맞는 이메일을 입력해 주세요.,,,กรุณากรอกอีเมล์ให้ถูกต้อง เพื่อใช้ในการค้นหารหัสผ่านของคุณ,
T_FINDPW_WARNING,계정과 가입할 때 입력한 이메일을 정확히 입력해 주세요.<br>새 비번은 입력한 이메일로 보내줍니다.,,,กรุณากรอกชื่อบัญชีและอีเมล์ที่สมัครไว้<br>รหัสผ่านใหม่จะถูกส่งไปทางอีเมล์ของคุณค่ะ,
T_PASSWORD,비밀번호,Password,လျှို့ဝှတ်နံပါတ်,รหัสผ่าน,
T_FINDPASSWORD,비밀번호 찾기,Reset Password,လှို့ဝှက်နံပါတ် ပြန်ရှာရန်,ค้นหารหัสผ่าน,
T_CHANGEPASSWORD,비밀번호 바꾸기,Change Password,လှို့ဝှက်နံပါတ် ပြောင်းရန်,รหัสผ่านใหม่,
T_EMAIL,이메일 주소,E-mail,အီးမေးလ်,อีเมล์,
T_CONFIRMPASSWORD,비밀번호 확인,Confirm\nNew Password,လှို့ဝှက်နံပါတ် အသစ် ထပ်မံရိုက်ထည့်ပေးပါ။,ยืนยันรหัสผ่าน,
T_RECONNECT,다시 접속,Reconnect,ပြန်လည်ချိတ်ဆက်နေပါတယ်,,
T_LOGINFAILED,로그인 실패,Login Failed,အကောင့် ဝင်မရပါ။,การเข้าสู่ระบบล้มเหลว,
T_TRYAGAIN,재시도,Try again,နောက်တစ်ကြိမ် ပြန်ဝင်ပါ။,,
T_SOUNDPOPUPTITLE,소리 설정,Sound Settings,အသံစနစ်,,
